Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,
3,89,CAR,Rashad Butler\ButlRa20,T,23,2013,0,0,0,6,,51,,,,,,,,,,,,,,,Miami (FL),College Stats
3,90,TAM,Maurice Stovall\StovMa00,WR,21,2012,0,0,0,5,5,81,,,,,,2,29,0,52,668,3,37,,,Notre Dame,College Stats
3,91,CIN,Frostee Rucker\RuckFr99,DE,23,2016,0,0,3,32,11,124,,,,,,,,,,,,156,1,20.0,USC,College Stats
3,92,DAL,Jason Hatcher\HatcJa20,DE,24,2015,0,1,5,34,23,147,,,,,,,,,,,,175,1,34.5,Grambling St.,
3,93,STL,Dominique Byrd\ByrdDo00,TE,22,2011,0,0,0,0,0,17,,,,,,,,,6,83,1,,,,USC,College Stats
3,94,IND,Freddy Keiaho\KeiaFr20,LB,23,2009,0,0,2,15,15,55,,,,,,,,,,,,184,1,1.5,San Diego St.,
3,95,PIT,Willie Reid\ReidWi00,WR,24,2007,0,0,0,1,1,7,,,,,,,,,4,54,0,,,,Florida St.,College Stats
3,96,NYG,Gerris Wilkinson\WilkGe20,LB,23,2010,0,0,0,6,6,58,,,,,,,,,,,,51,,,Georgia Tech,College Stats
3,97,NYJ,Eric Smith\SmitEr22,DB,23,2012,0,0,1,16,16,96,,,,,,,,,1,27,0,224,6,3.5,Michigan St.,College Stats
4,98,HOU,Owen Daniels\DaniOw00,TE,23,2015,0,2,9,41,35,131,,,,,,,,,479,5661,36,13,,,Wisconsin,College Stats
4,99,PHI,Max Jean-Gilles\JeanMa20,G,22,2010,0,0,2,14,14,42,,,,,,,,,,,,1,,,Georgia,College Stats
4,100,SFO,Michael Robinson\RobiMi00,WR,23,2013,0,1,0,7,4,112,1,2,28,0,0,115,422,2,75,610,3,60,,,Penn St.,College Stats
4,101,OAK,Darnell Bing\BingDa00,DB,22,2009,0,0,0,0,,5,,,,,,,,,,,,4,,,USC,College Stats
4,102,TEN,Calvin Lowry\LowrCa20,DB,23,2008,0,0,0,7,6,48,,,,,,,,,,,,62,2,,Penn St.,College Stats
4,103,NYJ,Brad Smith\SmitBr01,QB,22,2014,0,0,1,17,11,127,4,10,51,1,2,134,972,4,104,987,5,72,,,Missouri,College Stats
4,104,GNB,Cory Rodgers,WR,,,0,0,0,,,,,,,,,,,,,,,,,,TCU,College Stats
4,105,BUF,Ko Simpson\SimpKo20,DB,22,2009,0,0,2,13,11,41,,,,,,,,,,,,128,3,1.0,South Carolina,College Stats
4,106,NWE,Garrett Mills\MillGa01,FB,22,2010,0,0,0,1,,16,,,,,,,,,9,110,0,4,,,Tulsa,College Stats
4,107,ARI,Gabe Watson\WatsGa20,DT,23,2010,0,0,1,12,12,62,,,,,,,,,,,,81,,2.0,Michigan,
4,108,NOR,Jahri Evans\EvanJa21,T,23,2016,4,6,11,103,103,167,,,,,,,,,,,,6,,,Bloomsburg,
4,109,PHI,Jason Avant\AvanJa00,WR,23,2015,0,0,2,30,26,148,,,,,,2,2,0,346,4118,13,33,,,Michigan,College Stats
4,110,CLE,Leon Williams\WillLe20,LB,23,2012,0,0,1,9,8,61,,,,,,,,,,,,127,,5.0,Miami (FL),College Stats
4,111,BAL,Demetrius Williams\WillDe03,WR,23,2010,0,0,0,9,9,46,,,,,,,,,63,1008,4,2,,,Oregon,College Stats
4,112,CLE,Isaac Sowells\SoweIs20,T,24,2008,0,0,0,0,0,17,,,,,,,,,,,,,,,Indiana,
4,113,STL,Victor Adeyanju\AdeyVi20,DE,23,2009,0,0,2,13,13,53,,,,,,,,,,,,97,,3.0,Indiana,College Stats
4,114,MIA,Joe Toledo,T,,,0,0,0,,,,,,,,,,,,,,,,,,Washington,
4,115,GNB,Will Blackmon\BlacWi20,DB,21,2016,0,0,2,16,5,94,,,,,,,,,,,,152,3,3.5,Boston Col.,College Stats
4,116,TEN,Stephen Tulloch\TullSt20,LB,21,2016,0,0,7,48,21,155,,,,,,,,,,,,676,5,14.5,North Carolina St.,College Stats
4,117,NYJ,Leon Washington\WashLe00,RB,24,2014,1,2,1,30,23,126,1,1,36,0,0,487,2271,16,168,1286,4,13,,,Florida St.,College Stats
4,118,NWE,Stephen Gostkowski\GostSt20,K,22,2016,2,4,0,30,30,166,,,,,,,,,,,,15,,,Memphis,College Stats
4,119,DEN,Brandon Marshall\MarsBr00,WR,22,2016,1,6,10,81,27,166,0,1,0,0,0,20,118,0,939,12033,82,28,,,Central Florida,College Stats
4,120,CHI,Jamar Williams\WillJa21,LB,22,2010,0,0,0,5,5,54,,,,,,,,,,,,72,,1.0,Arizona St.,College Stats
4,121,CAR,Nate Salley\SallNa20,DB,22,2008,0,0,0,2,2,24,,,,,,,,,,,,9,,,Ohio St.,College Stats
4,122,TAM,Alan Zemaitis,DB,,,0,0,0,,,,,,,,,,,,,,,,,,Penn St.,College Stats
4,123,CIN,Domata Peko\PekoDo20,DT,21,2016,0,0,10,56,56,169,,,,,,,,,,,,263,,18.5,Michigan St.,College Stats
4,124,NYG,Barry Cofield\CofiBa20,DT,22,2015,0,0,8,45,29,138,,,,,,,,,,,,206,,19.5,Northwestern,College Stats
4,125,DAL,Skyler Green\GreeSk20,WR,22,2008,0,0,0,0,0,11,,,,,,1,1,0,3,33,0,,,,LSU,College Stats
4,126,DEN,Elvis Dumervil\DumeEl20,DE,22,2016,2,5,6,65,45,144,,,,,,,,,,,,252,1,98.0,Louisville,College Stats
4,127,MIN,Ray Edwards\EdwaRa21,DE,21,2012,0,0,5,37,28,97,,,,,,,,,,,,169,,33.0,Purdue,College Stats
4,128,SEA,Rob Sims\SimsRo20,G,22,2014,0,0,7,48,12,125,,,,,,,,,,,,7,,,Ohio St.,
4,129,NYG,Guy Whimper\WhimGu20,DE,23,2013,0,0,1,13,2,78,,,,,,,,,3,28,1,2,,,East Carolina,College Stats
4,130,DEN,Domenik Hixon\HixoDo00,WR,21,2013,0,0,0,17,0,76,,,,,,3,18,0,109,1460,7,29,,,Akron,College Stats
4,131,PIT,Willie Colon\ColoWi20,G,23,2015,0,0,6,40,29,100,,,,,,,,,0,0,0,3,,,Hofstra,
4,132,BAL,P.J. Daniels\DaniP.00,RB,23,2007,0,0,0,0,0,1,,,,,,,,,,,,,,,Georgia Tech,
4,133,PIT,Orien Harris\HarrOr20,DT,23,2009,0,0,0,2,,20,,,,,,,,,,,,9,,,Miami (FL),College Stats
5,134,BUF,Kyle Williams\WillKy20,DT,23,2016,0,4,9,62,62,149,,,,,,,,,,,,343,1,40.5,LSU,College Stats
5,135,NOR,Rob Ninkovich\NinkRo20,DE,22,2016,0,0,6,48,0,129,,,,,,,,,,,,279,5,46.0,Purdue,College Stats
5,136,NWE,Ryan O'Callaghan\OCalRy20,T,23,2010,0,0,1,12,7,51,,,,,,,,,,,,,,,California,
5,137,TEN,Terna Nande\NandTe20,LB,23,2006,0,0,0,0,0,1,,,,,,,,,,,,1,,,Miami (OH),College Stats
5,138,DAL,Pat Watkins\WatkPa20,DB,23,2010,0,0,1,7,7,53,,,,,,,,,,,,104,4,,Florida St.,College Stats
5,139,ATL,Quinn Ojinnaka\OjinQu20,G,22,2012,0,0,0,12,8,62,,,,,,,,,,,,,,,Syracuse,
5,140,SFO,Parys Haralson\HaraPa20,DE,22,2014,0,0,7,37,29,118,,,,,,,,,,,,184,,28.0,Tennessee,College Stats
5,141,DET,Jonathan Scott\ScotJo22,T,23,2014,0,0,1,18,3,71,,,,,,,,,,,,1,,,Texas,College Stats
5,142,ARI,Brandon Johnson\JohnBr20,LB,23,2012,0,0,1,13,0,87,,,,,,,,,,,,133,3,3.5,Louisville,College Stats
5,143,BUF,Brad Butler\ButlBr20,T,23,2009,0,0,2,13,13,33,,,,,,,,,0,0,0,1,,,Virginia,College Stats
5,144,STL,Marques Hagans\HagaMa00,WR,23,2008,0,0,0,1,1,10,1,1,5,0,0,3,-2,0,9,108,0,1,,,Virginia,College Stats
5,145,CLE,Jerome Harrison\HarrJe00,RB,23,2012,0,0,0,13,11,63,,,,,,356,1681,7,70,490,3,9,,,Washington St.,College Stats
5,146,BAL,Dawan Landry\LandDa21,DB,23,2014,0,0,8,43,22,130,,,,,,,,,,,,560,13,8.0,Georgia Tech,College Stats
5,147,PHI,Jeremy Bloom,DB,,,0,0,0,,,,,,,,,,,,,,,,,,Colorado,
5,148,GNB,Ingle Martin\MartIn00,QB,24,2006,0,0,0,0,0,1,,,,,,2,-5,0,,,,,,,Furman,
5,149,MIN,Greg Blue\BlueGr20,DB,24,2007,0,0,0,1,1,20,,,,,,,,,,,,18,,,Georgia,College Stats
5,150,NYJ,Jason Pociask\PociJa00,TE,23,2007,0,0,0,0,0,4,,,,,,,,,1,7,0,,,,Wisconsin,College Stats
5,151,SDG,Tim Dobbins\DobbTi20,LB,23,2013,0,0,1,19,9,110,,,,,,,,,,,,195,3,2.0,Iowa St.,College Stats
5,152,CLE,DeMario Minter,DB,,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats
5,153,WAS,Anthony Montgomery\MontAn20,NT,22,2009,0,0,1,14,14,42,,,,,,,,,,,,55,,3.0,Minnesota,College Stats
5,154,KAN,Marcus Maxey\MaxeMa20,DB,23,2006,0,0,0,0,0,2,,,,,,,,,,,,,,,Miami (FL),College Stats
5,155,CAR,Jeff King\KingJe00,TE,23,2012,0,0,6,10,7,108,,,,,,,,,156,1323,12,13,,,Virginia Tech,College Stats
5,156,TAM,Julian Jenkins\JenkJu20,DE,22,2006,0,0,0,1,1,12,,,,,,,,,,,,6,,,Stanford,College Stats
5,157,CIN,A.J. Nicholson\NichA.20,LB,23,2006,0,0,0,0,0,2,,,,,,,,,,,,,,,Florida St.,College Stats
5,158,NYG,Charlie Peprah\PeprCh20,DB,23,2012,0,0,2,11,,74,,,,,,,,,,,,142,8,,Alabama,College Stats
5,159,CHI,Mark Anderson\AndeMa21,DE,23,2012,0,0,1,20,15,98,,,,,,,,,,,,132,,36.5,Alabama,College Stats
5,160,JAX,Brent Hawkins\HawkBr20,DE,23,2007,0,0,0,3,3,20,,,,,,,,,,,,19,,5.5,Illinois St.,
5,161,DEN,Chris Kuper\KupeCh20,G,23,2013,0,0,5,33,33,90,,,,,,,,,0,7,0,3,,,North Dakota,
5,162,IND,Michael Toudouze\ToudMi20,G,23,2011,0,0,0,1,1,9,,,,,,,,,,,,,,,TCU,
5,163,SEA,David Kirtman\KirtDa00,RB,23,2008,0,0,0,0,0,7,,,,,,,,,,,,,,,USC,College Stats
5,164,PIT,Omar Jacobs,QB,,,0,0,0,,,,,,,,,,,,,,,,,,Bowling Green,College Stats
5,165,GNB,Tony Moll\MollTo20,T,23,2011,0,0,0,14,10,63,,,,,,,,,,,,,,,Nevada,College Stats
5,166,BAL,Quinn Sypniewski\SypnQu00,TE,24,2007,0,0,1,2,2,31,,,,,,,,,36,261,1,3,,,Colorado,College Stats
5,167,PIT,Charles Davis,TE,,,0,0,0,,,,,,,,,,,,,,,,,,Purdue,College Stats
5,168,PHI,Omar Gaither\GaitOm20,LB,22,2013,0,0,2,25,21,92,,,,,,,,,,,,263,2,6.0,Tennessee,College Stats
5,169,TEN,Jesse Mahelona\MaheJe20,DT,23,2007,0,0,0,1,1,11,,,,,,,,,,,,9,,1.0,Tennessee,College Stats
6,170,HOU,Wali Lundy\LundWa00,RB,23,2006,0,0,1,5,5,14,0,0,0,0,0,124,476,4,33,204,0,1,,,Virginia,College Stats
6,171,NOR,Mike Hass\HassMi00,WR,23,2009,0,0,0,0,,2,,,,,,,,,,,,,,,Oregon St.,College Stats
6,172,TEN,Jonathan Orr,WR,,,0,0,0,,,,,,,,,,,,,,,,,,Wisconsin,College Stats
6,173,WAS,Reed Doughty\DougRe20,DB,23,2013,0,0,2,20,20,107,,,,,,,,,,,,336,3,3.5,Northern Colorado,
6,174,NOR,Josh Lay,DB,,,0,0,0,,,,,,,,,,,,,,,,,,Pittsburgh,
6,175,SFO,Delanie Walker\WalkHu00,WR,22,2016,0,1,5,27,9,157,,,,,,14,91,0,397,4756,30,48,,,Central Missouri St.,
6,176,OAK,Kevin Boothe\BootKe20,T,23,2014,0,0,3,26,3,114,,,,,,,,,0,0,0,1,,,Cornell,
6,177,ARI,Jonathan Lewis\LewiJo22,DT,22,2006,0,0,0,0,0,4,,,,,,,,,,,,3,,,Virginia Tech,
6,178,BUF,Keith Ellison\ElliKe20,LB,22,2010,0,0,3,19,19,58,,,,,,1,6,0,,,,164,2,2.0,Oregon St.,College Stats
6,179,DET,Dee McCann,DB,,,0,0,0,,,,,,,,,,,,,,,,,,West Virginia,College Stats
6,180,CLE,Lawrence Vickers\VickLa00,FB,23,2012,0,0,3,3,2,106,,,,,,37,98,0,58,404,3,14,,,Colorado,College Stats
6,181,CLE,Babatunde Oshinowo\OshiBa20,DT,23,2007,0,0,0,0,0,2,,,,,,,,,,,,2,,,Stanford,
6,182,DAL,Montavious Stanley\StanMo20,DT,24,2009,0,0,0,5,,33,,,,,,,,,,,,46,,1.5,Louisville,College Stats
6,183,GNB,Johnny Jolly\JollJo20,DT,23,2013,0,0,3,22,22,61,,,,,,,,,,,,88,1,3.0,Texas A&M,College Stats
6,184,ATL,Adam Jennings\JennAd00,WR,23,2009,0,0,0,0,0,46,,,,,,1,-4,0,6,62,1,12,,,Fresno St.,College Stats
6,185,GNB,Tyrone Culver\CulvTy20,DB,23,2012,0,0,0,6,1,80,,,,,,,,,,,,109,2,1.0,Fresno St.,College Stats
6,186,KAN,Tre Stallings\StalTr20,G,23,2007,0,0,0,0,0,1,,,,,,,,,,,,,,,Mississippi St.,College Stats
6,187,SDG,Jeromey Clary\ClarJe20,T,22,2013,0,0,6,48,48,103,,,,,,,,,1,-8,0,7,,,Kansas St.,College Stats
6,188,SDG,Kurt Smith,K,,,0,0,0,,,,,,,,,,,,,,,,,,Virginia,College Stats
6,189,NYJ,Drew Coleman\ColeDr20,DB,23,2011,0,0,0,9,6,83,,,,,,,,,,,,126,4,8.0,TCU,College Stats
